collection,code,genus,species,date,SiteTemp,Tree host,gall host,Notes,phenophase,lifestage,viability
782,39,Quercus,alba,5/22/2017,"City Park , Iowa City IA (41.676, -91.539)",White Oak,Callirhytis seminator,"range in size, one around the size of a golf ball had 40+ larvae chambers inside",dormant,,viable
786,42,Quercus,macrocarpa,5/22/2017,Coralville pool area,Bur Oak,Andricus quercuspetiolicola,,dormant,,viable
789,70,Quercus,palustris,5/22/2017,Coralville pool area,Pin Oak,Callirhytis quercuscornigera,"large stem galls, with horns still present/ beetle fround crawling around and in holes",dormant,,viable
790,30,Quercus,bicolor,5/23/2017,Pentacrest,Swamp White Oak,Andricus chinquapin,"5 with exit holes already, turn brown with age",perimature,,viable
791,45,Quercus,palustris,5/24/2017,Hickory Hills Park,Pin Oak,Amphibolips quercusostensackenii,,dormant,,viable
792,87,Quercus,palustris,5/24/2017,Hickory Hills Park,Pin Oak,Dryocosmus notha,no exit holes,dormant,,viable
793,38,Quercus,palustris,5/24/2017,Hickory Hills Park,Pin Oak,Dryocosmus quercuspalustris,,dormant,,viable
795,40,Quercus,alba,5/24/2017,Hickory Hills Park,White Oak,Andricus quercusutriculus,,dormant,,viable
798,86,Quercus,rubra,5/24/2017,Hickory Hills Park,Red Oak,Amphilbolips quercusinanis,,dormant,,viable
799,43,Quercus,rubra,5/24/2017,Hickory Hills Park,Red Oak,Melikaiella tumifica,on basel end of midrib,dormant,,viable
801,46,Quercus,marilandica,5/24/2017,Hickory Hills Park,Blackjack oak,Amphibolips confluenta,"closet things is spongy oak apple, on aborted leaf, globular with short pubesent, spongy to touch",dormant,,viable
807,42,Quercus,bicolor,5/25/2017,Kent Park,Swamp White Oak,Andricus quercuspetiolicola,,dormant,,viable
809,30,Quercus,bicolor,5/25/2017,Kent Park,Swamp White Oak,Andricus chinquapin,,dormant,,viable
810,43,Quercus,velutina,5/25/2017,Kent Park,Black Oak,Melikaiella tumifica,,dormant,,viable
811,45,Quercus,velutina,5/25/2017,Kent Park,Black Oak,Amphibolips quercusostensackenii,,dormant,,viable
814,86,Quercus,rubra,5/25/2017,Kent Park,Red Oak,Amphilbolips quercusinanis,"exit holes on a few, still green",perimature,,viable
815,45,Quercus,rubra,5/25/2017,Kent Park,Red Oak,Amphibolips quercusostensackenii,,dormant,,viable
818,46,Quercus,velutina,5/25/2017,Kent Park,Black oak,Amphibolips confluenta,"one exit hole, huge and saw spongy interior on one of them, not listed under black oaks in WELd",perimature,,viable
823,45,Quercus,palustris,6/1/2017,North pavilline park (Coralville IA),Pin Oak,Amphibolips quercusostensackenii,,dormant,,viable
826,30,Quercus,bicolor,6/1/2017,Morman Handcart trail,Swamp White Oak,Andricus chinquapin,,dormant,,viable
827,42,Quercus,bicolor,6/1/2017,Morman Handcart trail,Swamp White Oak,Andricus quercuspetiolicola,,dormant,,viable
831,39,Quercus,alba,6/3/2017,"Creve coer lake, St Louis MO",White Oak,Callirhytis seminator,,dormant,,viable
832,41,Quercus,imbricaria,6/3/2017,"Creve coer lake, St Louis MO",Shingle Oak,Callirhytis quercusventricosa,"brown, starting to fall off stem",dormant,,viable
